147,142,0,25
34,122,1,105
25,143,1,131
112,88,1,273
148,3,1,297
11,73,0,306
29,148,1,348
104,170,1,419
35,22,1,459
180,138,1,479
133,148,1,494
117,171,0,525
77,159,1,576
148,3,1,698
93,123,1,711
166,136,0,715
63,121,1,725
168,56,1,789
39,58,1,802
112,88,1,826
5,117,0,841
123,130,1,848
164,52,0,918
175,21,1,941
148,3,1,1036
148,29,0,1092
120,97,1,1186
154,93,0,1219
3,103,1,1343
172,156,1,1353
173,1,0,1360
5,117,0,1367
148,3,1,1470
112,88,1,1483
137,100,0,1532
25,143,1,1590
62,74,0,1606
83,168,1,1686
124,126,1,1726
37,170,1,1728
93,123,1,1756
34,122,1,1793
149,119,1,1812
148,3,1,1837
148,29,0,1875
75,172,1,1904
159,115,0,1958
154,64,1,2023
36,170,1,2048
133,148,0,2062
44,109,1,2075
138,130,0,2087
42,14,0,2095
125,153,1,2139
9,32,0,2156
63,121,1,2174
129,64,0,2189
16,53,1,2223
123,130,1,2242
28,135,1,2270
148,3,1,2271
50,129,1,2272
3,103,1,2281
107,111,1,2300
144,150,1,2309
174,42,1,2310
36,104,1,2439
37,170,1,2464
67,46,0,2471
35,9,1,2522
175,21,1,2545
76,18,0,2566
127,61,1,2567
133,148,0,2725
112,88,1,2735
154,74,0,2767
160,59,1,2844
38,168,1,2860
5,117,1,2985
63,46,0,3100
128,98,1,3131
34,10,1,3210
37,170,1,3228
117,171,1,3270
44,136,0,3299
133,148,0,3336
131,86,0,3352
182,52,1,3364
61,140,1,3393
59,132,0,3402
54,132,0,3432
146,132,0,3446
148,3,1,3506
76,18,0,3530
125,153,1,3538
34,122,0,3580
34,102,1,3611
144,120,1,3656
80,84,1,3662
26,9,0,3681
9,32,0,3747
132,77,0,3781
168,1,0,3841
168,81,0,3845
156,166,1,3852
148,3,1,3883
5,117,1,3917
149,40,0,3935
181,147,0,3955
51,83,1,4000
52,83,1,4002
133,148,0,4002
148,29,1,4015
166,136,1,4056
181,11,0,4073
9,32,0,4107
108,51,1,4216
170,92,1,4219
40,107,1,4256
49,137,0,4296
93,100,1,4302
148,3,1,4306
37,170,1,4311
66,79,0,4342
179,8,0,4380
9,32,0,4459
151,169,1,4478
26,169,1,4480
160,165,1,4487
37,8,1,4546
148,3,0,4634
76,18,1,4635
157,52,0,4687
175,21,0,4727
148,3,0,4739
133,148,0,4777
121,45,1,4809
154,45,1,4832
159,165,1,4833
9,32,0,4843
48,109,1,4844
29,158,1,4863
59,93,1,4882
92,112,1,4887
148,3,0,4902
29,104,1,4920
35,22,0,4968
71,157,1,4974
48,56,1,5001
117,114,1,5010
152,36,1,5027
158,69,1,5068
130,51,0,5071
44,109,0,5074
54,54,1,5076
164,60,0,5086
68,107,0,5097
63,121,0,5155
145,173,1,5174
5,117,1,5179
9,32,0,5222
177,81,1,5235
175,81,1,5240
183,81,1,5241
154,93,1,5241
15,15,0,5243
115,27,1,5251
167,65,0,5288
149,63,1,5295
30,130,1,5299
159,25,1,5305
150,170,1,5311
148,29,1,5324
162,52,0,5329
122,10,1,5339
148,3,1,5358
168,26,1,5382
76,18,1,5410
60,54,1,5416
158,67,0,5456
30,7,0,5477
29,14,1,5488
112,88,0,5566
79,135,1,5575
153,76,0,5578
64,53,1,5585
158,54,0,5594
90,49,1,5619
155,64,1,5621
114,94,1,5621
105,94,1,5661
9,32,0,5662
173,88,0,5701
112,88,0,5707
76,83,0,5773
146,172,1,5782
137,100,1,5806
142,91,1,5815
153,168,1,5850
175,1,0,5881
9,38,0,5893
41,52,0,5908
48,109,1,5932
170,93,1,5935
74,90,0,5958
168,1,0,5969
93,123,0,5971
166,42,1,5973
38,7,1,6077
48,137,0,6108
126,41,1,6137
45,14,1,6150
24,10,0,6157
175,169,0,6161
151,64,1,6178
153,64,1,6182
148,3,1,6182
51,40,1,6185
5,117,0,6202
113,126,0,6209
111,97,1,6219
99,145,1,6222
174,165,1,6234
164,63,1,6253
126,98,1,6262
132,98,1,6292
162,152,1,6292
9,32,0,6322
104,119,1,6323
83,147,1,6329
22,11,0,6330
172,156,0,6392
167,65,0,6426
73,116,1,6433
22,26,0,6468
91,51,1,6476
145,114,1,6490
47,15,1,6501
83,168,1,6501
75,119,1,6523
175,21,0,6537
65,67,1,6543
46,96,1,6587
132,69,1,6605
17,60,1,6623
16,14,0,6638
144,173,1,6644
9,38,0,6690
112,88,1,6693
177,6,0,6704
72,82,1,6704
54,82,1,6720
148,3,1,6736
170,62,0,6745
149,77,0,6757
33,5,0,6759
160,90,0,6764
147,142,0,6767
167,82,0,6768
169,98,1,6776
129,98,1,6795
90,49,1,6824
143,166,0,6825
35,22,0,6832
45,26,1,6878
113,93,1,6891
121,60,0,6895
102,106,0,6901
73,78,1,6904
154,74,1,6912
93,123,0,6913
57,147,0,6922
169,63,1,6927
10,21,0,6937
132,146,1,6958
18,165,1,6970
131,120,1,6996
74,91,0,7024
162,117,0,7061
68,142,1,7068
162,41,1,7078
181,51,1,7095
48,109,1,7122
166,154,1,7123
148,3,1,7123
169,81,0,7132
112,88,0,7161
15,77,1,7167
34,22,0,7206
177,105,0,7213
137,54,1,7214
124,54,1,7222
6,108,1,7223
134,39,1,7224
148,172,1,7243
78,172,1,7251
45,3,1,7251
63,121,0,7259
125,43,1,7272
56,70,1,7278
134,37,1,7305
149,37,1,7316
180,76,1,7316
160,90,0,7325
158,61,1,7331
9,32,0,7349
49,126,1,7353
124,54,1,7396
83,168,1,7398
125,64,0,7405
126,97,1,7428
169,97,1,7435
175,169,0,7447
18,13,0,7448
100,13,1,7454
130,64,0,7454
52,74,0,7481
